TIPREG,DATAPREG,CODDBI,CODNEG,TPMERC,NOMRES,ESPECI,PRAZOT,MODREF,PREABE,PREMAX,PREMIN,PREMED,PREULT,PREOFC,PREOFV,TOTNEG,QUATOT,VOLTOT,PREEXE,INDOPC,DATVEN,FATCOT,PTOEXE,CODISI,DISMES
1,2016-02-17,78,OIBRD31,70,OIBR,ON N1,000,R$,0.19,0.25,0.19,0.22,0.25,0.22,0.0,2,400,88.0,3.1,0,2016-04-18,1,0.0,BROIBRACNOR1,105
1,2016-02-17,78,OIBRD32,70,OIBR,ON N1,000,R$,0.16,0.22,0.16,0.19,0.22,0.19,0.0,2,600,114.0,3.2,0,2016-04-18,1,0.0,BROIBRACNOR1,105
1,2016-02-17,78,OIBRD33,70,OIBR,ON N1,000,R$,0.14,0.2,0.14,0.17,0.2,0.17,0.0,2,600,102.0,3.3,0,2016-04-18,1,0.0,BROIBRACNOR1,105
1,2016-02-17,78,OIBRD34,70,OIBR,ON N1,000,R$,0.11,0.17,0.11,0.14,0.17,0.0,0.0,2,600,84.0,3.4,0,2016-04-18,1,0.0,BROIBRACNOR1,105
1,2016-02-17,78,OIBRD35,70,OIBR,ON N1,000,R$,0.09,0.15,0.09,0.12,0.15,0.0,0.0,2,800,96.0,3.5,0,2016-04-18,1,0.0,BROIBRACNOR1,105
1,2016-02-17,78,OIBRD36,70,OIBR,ON N1,000,R$,0.07,0.12,0.07,0.09,0.12,0.0,0.0,4,2000,185.0,3.6,0,2016-04-18,1,0.0,BROIBRACNOR1,105
1,2016-02-17,78,OIBRD37,70,OIBR,ON N1,000,R$,0.06,0.09,0.06,0.07,0.09,0.0,0.0,4,2400,180.0,3.7,0,2016-04-18,1,0.0,BROIBRACNOR1,105
1,2016-02-17,82,OIBRO19,80,OIBRE,ON N1,000,R$,0.05,0.05,0.05,0.05,0.05,0.04,0.0,2,5000,250.0,1.9,0,2016-03-21,1,0.0,BROIBRACNOR1,105
1,2016-02-17,82,OIBRO21,80,OIBRE FM,ON N1,000,R$,0.1,0.1,0.1,0.1,0.1,0.0,0.2,1,2000,200.0,2.1,0,2016-03-21,1,0.0,BROIBRACNOR1,105
1,2016-02-17,12,ONEF11,10,FII THE ONE,CI ER,,R$,750.0,750.0,730.01,740.27,741.01,741.01,749.99,15,87,64403.74,0.0,0,9999-12-31,1,0.0,BRONEFCTF003,141
1,2016-02-17,08,OSXB3,10,OSX BRASIL,ON NM,,R$,0.15,0.16,0.13,0.14,0.15,0.14,0.15,72,1209300,172487.0,0.0,0,9999-12-31,1,0.0,BROSXBACNOR8,107
1,2016-02-17,96,OSXB3F,20,OSX BRASIL,ON NM,,R$,0.14,0.14,0.14,0.14,0.14,0.13,0.18,1,15,2.1,0.0,0,9999-12-31,1,0.0,BROSXBACNOR8,107
1,2016-02-17,02,PARC3,10,PARCORRETORA,ON NM,,R$,9.96,10.09,9.86,9.98,9.86,9.86,9.95,724,264300,2639851.0,0.0,0,9999-12-31,1,0.0,BRPARCACNOR3,102
1,2016-02-17,96,PARC3F,20,PARCORRETORA,ON NM,,R$,9.95,9.98,9.95,9.96,9.98,9.9,10.12,4,91,906.47,0.0,0,9999-12-31,1,0.0,BRPARCACNOR3,102
1,2016-02-17,02,PCAR3,10,P.ACUCAR-CBD,ON N1,,R$,55.16,55.16,55.16,55.16,55.16,0.0,0.0,1,100,5516.0,0.0,0,9999-12-31,1,0.0,BRPCARACNOR3,154
1,2016-02-17,62,PCAR3T,30,P.ACUCAR-CBD,ON N1,180,R$,59.13,59.14,59.13,59.13,59.14,0.0,0.0,2,100,5913.7,0.0,0,9999-12-31,1,0.0,BRPCARACNOR3,154
1,2016-02-17,02,PCAR4,10,P.ACUCAR-CBD,PN N1,,R$,43.0,44.41,42.81,43.68,43.62,43.62,43.82,6086,1022000,44648534.0,0.0,0,9999-12-31,1,0.0,BRPCARACNPR0,147
1,2016-02-17,96,PCAR4F,20,P.ACUCAR-CBD,PN N1,,R$,43.46,44.4,43.0,43.62,43.62,43.62,43.84,136,3785,165111.8,0.0,0,9999-12-31,1,0.0,BRPCARACNPR0,147
1,2016-02-17,78,PCARC41,70,PCAR FM,PN N1,000,R$,3.8,3.83,3.8,3.81,3.83,0.0,0.0,3,2000,7633.0,41.0,0,2016-03-21,1,0.0,BRPCARACNPR0,147
1,2016-02-17,78,PCARC42,70,PCAR FM,PN N1,000,R$,2.86,3.67,2.67,2.93,3.67,0.0,0.0,9,5100,14967.0,42.0,0,2016-03-21,1,0.0,BRPCARACNPR0,147
1,2016-02-17,78,PCARC43,70,PCAR FM,PN N1,000,R$,2.58,3.1,2.58,2.79,3.1,0.0,0.0,3,600,1676.0,43.0,0,2016-03-21,1,0.0,BRPCARACNPR0,147
1,2016-02-17,78,PCARC44,70,PCAR FM,PN N1,000,R$,1.84,2.49,1.84,2.21,2.49,1.84,2.49,22,20200,44823.0,44.0,0,2016-03-21,1,0.0,BRPCARACNPR0,147
1,2016-02-17,78,PCARC46,70,PCAR,PN N1,000,R$,0.91,1.39,0.91,1.11,1.39,0.0,1.4,3,600,671.0,46.0,0,2016-03-21,1,0.0,BRPCARACNPR0,147
1,2016-02-17,78,PCARC47,70,PCAR,PN N1,000,R$,0.7,0.9,0.7,0.74,0.9,0.0,0.0,7,2900,2150.0,47.0,0,2016-03-21,1,0.0,BRPCARACNPR0,147
1,2016-02-17,78,PCARD13,70,PCAR FM,PN N1,000,R$,2.81,3.13,2.74,2.86,3.13,0.0,0.0,7,2400,6884.0,43.85,0,2016-04-18,1,0.0,BRPCARACNPR0,147
1,2016-02-17,78,PCARD41,70,PCAR FM,PN N1,000,R$,4.1,4.1,4.1,4.1,4.1,0.0,0.0,3,2000,8200.0,41.35,0,2016-04-18,1,0.0,BRPCARACNPR0,147
1,2016-02-17,78,PCARE51,70,PCAR,PN N1,000,R$,1.1,1.1,1.1,1.1,1.1,0.0,0.0,1,19000,20900.0,51.0,0,2016-05-16,1,0.0,BRPCARACNPR0,147
1,2016-02-17,82,PCARO48,80,PCARE,PN N1,000,R$,4.5,4.5,4.5,4.5,4.5,0.0,0.0,1,1000,4500.0,48.0,0,2016-03-21,1,0.0,BRPCARACNPR0,147
1,2016-02-17,82,PCARP47,80,PCARE,PN N1,000,R$,4.37,4.37,4.37,4.37,4.37,0.0,0.0,3,1000,4370.0,47.35,0,2016-04-18,1,0.0,BRPCARACNPR0,147
1,2016-02-17,82,PCARQ80,80,PCARE,PN N1,000,R$,1.6,1.6,1.6,1.6,1.6,0.0,0.0,2,19000,30400.0,40.75,0,2016-05-16,1,0.0,BRPCARACNPR0,147
1,2016-02-17,82,PCARQ82,80,PCARE,PN N1,000,R$,2.37,2.38,2.37,2.37,2.38,0.0,0.0,5,37900,89861.0,42.75,0,2016-05-16,1,0.0,BRPCARACNPR0,147
1,2016-02-17,22,PDGR11,10,PDG REALT,BNS ORD NM,,R$,0.01,0.02,0.01,0.01,0.01,0.0,0.01,12,677100,6782.0,0.0,0,9999-12-31,1,0.0,BRPDGRN01OR2,100
1,2016-02-17,02,PDGR3,10,PDG REALT,ON NM,,R$,6.27,6.4,5.48,6.02,5.8,5.8,5.9,1586,1912100,11526332.0,0.0,0,9999-12-31,1,0.0,BRPDGRACNOR8,112
1,2016-02-17,96,PDGR3F,20,PDG REALT,ON NM,,R$,5.98,6.34,5.31,5.9,5.92,5.7,5.95,104,2711,16014.6,0.0,0,9999-12-31,1,0.0,BRPDGRACNOR8,112
1,2016-02-17,62,PDGR3T,30,PDG REALT,ON NM,030,R$,6.26,6.27,6.26,6.26,6.27,0.0,0.0,6,270000,1692581.4,0.0,0,9999-12-31,1,0.0,BRPDGRACNOR8,112
1,2016-02-17,02,PEPB34,10,PEPSICO INC,DRN,,R$,397.55,397.55,397.55,397.55,397.55,0.0,0.0,1,300,119265.0,0.0,0,9999-12-31,1,0.0,BRPEPBBDR005,113
1,2016-02-17,02,PETR3,10,PETROBRAS,ON,,R$,6.41,6.97,6.41,6.74,6.78,6.78,6.81,42085,24782600,167224729.0,0.0,0,9999-12-31,1,0.0,BRPETRACNOR9,183
1,2016-02-17,96,PETR3F,20,PETROBRAS,ON,,R$,6.45,6.95,6.45,6.72,6.84,6.8,6.9,130,3065,20614.66,0.0,0,9999-12-31,1,0.0,BRPETRACNOR9,183
1,2016-02-17,62,PETR3T,30,PETROBRAS,ON,180,R$,6.87,6.88,6.87,6.87,6.88,0.0,0.0,2,10000,68747.25,0.0,0,9999-12-31,1,0.0,BRPETRACNOR9,183
1,2016-02-17,02,PETR4,10,PETROBRAS,PN,,R$,4.54,4.82,4.51,4.64,4.68,4.68,4.69,55693,84473100,392727840.0,0.0,0,9999-12-31,1,0.0,BRPETRACNPR6,185
1,2016-02-17,96,PETR4F,20,PETROBRAS,PN,,R$,4.5,4.8,4.47,4.64,4.66,4.66,4.7,419,10877,50577.58,0.0,0,9999-12-31,1,0.0,BRPETRACNPR6,185
1,2016-02-17,62,PETR4T,30,PETROBRAS,PN,016,R$,4.7,4.71,4.7,4.7,4.71,0.0,0.0,2,8000,37649.66,0.0,0,9999-12-31,1,0.0,BRPETRACNPR6,185
1,2016-02-17,62,PETR4T,30,PETROBRAS,PN,030,R$,4.6,4.86,4.58,4.66,4.86,0.0,0.0,24,249100,1162591.27,0.0,0,9999-12-31,1,0.0,BRPETRACNPR6,185
1,2016-02-17,62,PETR4T,30,PETROBRAS,PN,036,R$,4.63,4.64,4.6,4.62,4.63,0.0,0.0,14,65000,300722.75,0.0,0,9999-12-31,1,0.0,BRPETRACNPR6,185
1,2016-02-17,62,PETR4T,30,PETROBRAS,PN,061,R$,4.67,4.89,4.67,4.79,4.86,0.0,0.0,10,23000,110311.21,0.0,0,9999-12-31,1,0.0,BRPETRACNPR6,185
1,2016-02-17,62,PETR4T,30,PETROBRAS,PN,090,R$,4.69,4.92,4.69,4.9,4.88,0.0,0.0,12,107000,524476.84,0.0,0,9999-12-31,1,0.0,BRPETRACNPR6,185
